Sample	Sex	DJ	5S	rDNA	rDNA18S	Chr13_PHR	Chr13_PHR_arm1	Chr13_PHR_arm2
102-00003-02	XY	10.09	86.66	335.14	303.76	3.85	4.00	3.85
102-00004-01	XX	10.18	260.39	384.24	351.33	3.87	3.93	3.93
102-00005-01	XX	10.72	92.33	372.77	350.55	3.77	3.88	3.72
102-00030-03	XY	10.76	133.42	421.28	365.50	3.71	3.71	3.85
102-00104-01	XX	9.05	187.73	413.23	377.61	3.94	4.05	3.82
102-00105-03	XY	10.07	166.60	318.82	276.90	3.72	3.84	3.72
102-00118-02	XY	10.04	139.70	392.82	347.51	3.85	3.90	3.95
102-00121-02	XX	10.13	129.26	345.51	369.66	3.82	4.00	3.77
102-00124-02	XY	11.02	174.91	281.35	268.35	3.83	4.00	3.78
102-00125-02	XY	9.88	181.88	404.11	364.74	3.77	3.94	3.71
102-00128-02	XY	10.10	121.43	275.23	224.07	4.05	4.15	4.05
102-00128-03	XY	10.15	136.76	386.20	294.66	3.89	3.94	3.94
102-00134-01	XX	10.10	114.32	395.01	351.37	3.78	3.85	3.92
102-00134-03	XY	10.04	116.84	419.84	364.52	3.72	3.84	3.84
102-00137-01	XX	10.19	252.24	521.07	482.00	3.80	3.85	3.90
102-00149-01	XX	10.20	180.25	272.80	240.65	3.95	4.05	4.00
102-00149-03	XY	9.97	184.29	325.18	254.96	3.95	4.00	4.00
102-00151-02	XY	10.10	76.84	241.28	197.94	3.89	3.94	4.00
102-00151-03	XX	10.38	148.38	383.33	293.30	3.83	4.00	3.88
102-00158-42	XY	11.02	158.83	334.83	266.86	3.81	3.90	3.76
102-00159-03	XY	10.09	88.68	495.45	442.22	3.86	3.95	3.90
102-00161-02	XX	8.16	112.06	386.62	314.39	3.79	3.87	3.87
102-00167-03	XY	10.20	153.38	358.64	267.26	3.88	3.92	3.96
102-00173-02	XX	9.95	137.97	336.51	336.27	3.78	3.87	3.87
102-00179-03	XY	10.57	211.35	316.04	281.91	3.91	4.04	4.00
102-00209-03	XY	9.95	75.62	322.64	291.39	3.79	3.87	3.83
102-00211-01	XX	10.04	99.14	328.38	335.19	3.95	4.17	3.91
102-00212-01	XX	10.00	157.02	323.80	306.39	3.85	3.90	3.95
102-00212-03	XX	10.02	106.48	309.79	200.04	3.67	3.81	3.77
102-00234-03	XX	10.12	80.75	265.12	179.50	3.93	4.00	3.93
102-00240-01	XX	10.11	139.88	343.19	243.75	3.84	3.92	4.00
102-00260-03	XY	10.00	120.16	171.91	143.40	3.83	3.95	3.83
102-00261-02	XY	10.00	78.61	293.04	297.76	3.80	3.95	3.85
102-00264-02	XX	10.00	127.18	519.67	560.16	3.86	3.95	3.95
102-00267-01	XX	10.76	138.85	300.07	287.28	3.90	4.04	3.95
102-00274-03a	XY	10.04	150.88	251.11	263.33	3.82	4.00	3.73
102-00277-03	XY	10.04	144.56	473.95	423.02	3.90	4.04	3.90
102-00301-03	XY	10.30	131.58	237.17	260.76	3.89	4.05	3.89
102-00307-01	XX	9.95	221.75	361.17	342.92	3.80	3.95	3.80
102-00516-02	XY	10.78	178.75	381.21	363.36	3.75	3.85	3.85
102-00519-03	XX	10.23	124.13	411.67	369.16	3.76	3.86	3.81
102-00522-01	XX	10.04	197.90	416.37	352.65	3.81	4.00	3.67
102-00523-02	XY	10.13	146.04	355.30	311.89	3.91	4.08	3.86
102-00528-22	XX	10.10	101.89	242.41	209.74	3.79	3.89	3.84
102-00541-01	XX	10.05	110.11	355.00	297.83	3.83	3.94	3.94
102-00541-03	XY	10.09	109.33	363.04	309.45	3.80	3.85	3.90
102-00544-03	XX	10.00	154.02	304.94	273.91	3.58	3.70	3.58
